origin_city;destination_city
London,STN;Aalborg,AAL
Gdansk,GDN;Aarhus,AAR
London,STN;Aarhus,AAR
Malaga,AGP;Aberdeen,ABZ
Alicante,ALC;Aberdeen,ABZ
Barcelona,BCN;Arrecife,ACE
Belfast,BFS;Arrecife,ACE
Bergamo,BGY;Arrecife,ACE
Birmingham,BHX;Arrecife,ACE
Bologna,BLQ;Arrecife,ACE
Bristol,BRS;Arrecife,ACE
Charleroi,CRL;Arrecife,ACE
Dublin,DUB;Arrecife,ACE
Edinburgh,EDI;Arrecife,ACE
Eindhoven,EIN;Arrecife,ACE
East Midlands,EMA;Arrecife,ACE
Rome,FCO;Arrecife,ACE
Frankfurt,FRA;Arrecife,ACE
Glasgow,GLA;Arrecife,ACE
Hahn,HHN;Arrecife,ACE
Leeds,LBA;Arrecife,ACE
Liverpool,LPL;Arrecife,ACE
London,LTN;Arrecife,ACE
Madrid,MAD;Arrecife,ACE
Manchester,MAN;Arrecife,ACE
Newcastle,NCL;Arrecife,ACE
Connaught,NOC;Arrecife,ACE
Weeze,NRN;Arrecife,ACE
Cork,ORK;Arrecife,ACE
Prestwick,PIK;Arrecife,ACE
Santiago,SCQ;Arrecife,ACE
Shannon,SNN;Arrecife,ACE
London,STN;Arrecife,ACE
Sevilla,SVQ;Arrecife,ACE
Berlin,SXF;Arrecife,ACE
Valencia,VLC;Arrecife,ACE
Charleroi,CRL;Agadir,AGA
London,STN;Agadir,AGA
Aberdeen,ABZ;Malaga,AGP
Amsterdam,AMS;Malaga,AGP
Barcelona,BCN;Malaga,AGP
Belfast,BFS;Malaga,AGP
Bergamo,BGY;Malaga,AGP
Birmingham,BHX;Malaga,AGP
Billund,BLL;Malaga,AGP
Bologna,BLQ;Malaga,AGP
Bournemouth,BOH;Malaga,AGP
Bremen,BRE;Malaga,AGP
Bristol,BRS;Malaga,AGP
Brussels,BRU;Malaga,AGP
Budapest,BUD;Malaga,AGP
Cologne,CGN;Malaga,AGP
Copenhagen,CPH;Malaga,AGP
Charleroi,CRL;Malaga,AGP
Dortmund,DTM;Malaga,AGP
Dublin,DUB;Malaga,AGP
Edinburgh,EDI;Malaga,AGP
Eindhoven,EIN;Malaga,AGP
East Midlands,EMA;Malaga,AGP
Rome,FCO;Malaga,AGP
Karlsruhe/Baden-Baden,FKB;Malaga,AGP
Memmingen,FMM;Malaga,AGP
Frankfurt,FRA;Malaga,AGP
Glasgow,GLA;Malaga,AGP
Gothenborg,GOT;Malaga,AGP
Hahn,HHN;Malaga,AGP
Ibiza,IBZ;Malaga,AGP
Krakow,KRK;Malaga,AGP
Leeds,LBA;Malaga,AGP
Liverpool,LPL;Malaga,AGP
Manchester,MAN;Malaga,AGP
Marseille,MRS;Malaga,AGP
Newcastle,NCL;Malaga,AGP
Weeze,NRN;Malaga,AGP
Stockholm,NYO;Malaga,AGP
Cork,ORK;Malaga,AGP
Prestwick,PIK;Malaga,AGP
Palma de Mallorca,PMI;Malaga,AGP
Prague,PRG;Malaga,AGP
Santiago,SCQ;Malaga,AGP
Santander,SDR;Malaga,AGP
Shannon,SNN;Malaga,AGP
London,STN;Malaga,AGP
Berlin,SXF;Malaga,AGP
Treviso,TSF;Malaga,AGP
Warsaw,WMI;Malaga,AGP
Wroclaw,WRO;Malaga,AGP
Bergamo,BGY;Alghero,AHO
Bologna,BLQ;Alghero,AHO
Pisa,PSA;Alghero,AHO
Aberdeen,ABZ;Alicante,ALC
Belfast,BFS;Alicante,ALC
Bergamo,BGY;Alicante,ALC
Birmingham,BHX;Alicante,ALC
Billund,BLL;Alicante,ALC
Bournemouth,BOH;Alicante,ALC
Bremen,BRE;Alicante,ALC
Bristol,BRS;Alicante,ALC
Brussels,BRU;Alicante,ALC
Beauvais,BVA;Alicante,ALC
Cologne,CGN;Alicante,ALC
Copenhagen,CPH;Alicante,ALC
Charleroi,CRL;Alicante,ALC
Dublin,DUB;Alicante,ALC
Edinburgh,EDI;Alicante,ALC
Eindhoven,EIN;Alicante,ALC
East Midlands,EMA;Alicante,ALC
Rome,FCO;Alicante,ALC
Karlsruhe/Baden-Baden,FKB;Alicante,ALC
Memmingen,FMM;Alicante,ALC
Frankfurt,FRA;Alicante,ALC
Glasgow,GLA;Alicante,ALC
Gothenborg,GOT;Alicante,ALC
Hamburg,HAM;Alicante,ALC
Hahn,HHN;Alicante,ALC
Krakow,KRK;Alicante,ALC
Kaunas,KUN;Alicante,ALC
Leeds,LBA;Alicante,ALC
London,LGW;Alicante,ALC
Liverpool,LPL;Alicante,ALC
Manchester,MAN;Alicante,ALC
Maastricht,MST;Alicante,ALC
Milano,MXP;Alicante,ALC
Newcastle,NCL;Alicante,ALC
Weeze,NRN;Alicante,ALC
Stockholm,NYO;Alicante,ALC
